SIPARIS_NO;PARA_BIRIMI;TOPLAM;TOPLAM_TRY
S.ACM.GNN.000176;TL;1041.67;1041.67
S.ACM.GNN.000091;TL;1820;1820
S.ACM.GNN.000091;TL;1040;1040
S.ACM.GNN.000092;TL;1820;1820
S.ACM.GNN.000127;TL;2780;2780
S.ACM.GNN.000127;TL;1740;1740
S.ACM.GNN.000127;TL;1620;1620
S.ACM.GNN.000127;TL;440;440
S.ACM.GNN.000127;TL;170;170
S.ACM.GNN.000127;TL;170;170
S.ACM.GNN.000127;TL;8500;8500
S.ACM.GNN.000127;TL;1100;1100
S.ACM.GNN.000127;TL;510;510
S.ACM.GNN.000127;TL;194;194
S.ACM.GNN.000127;TL;194;194
S.ACM.GNN.000127;TL;560;560
S.ACM.GNN.000127;TL;180;180
S.ACM.GNN.000127;TL;96;96
S.ACM.GNN.000127;TL;660;660
S.ACM.GNN.000127;TL;660;660
S.ACM.GNN.000127;TL;660;660
S.ACM.GNN.000127;TL;1430;1430
S.ACM.GNN.000127;TL;2300;2300
S.ACM.GNN.000127;TL;6800;6800
S.ACM.GNN.000127;TL;1700;1700
S.ACM.GNN.000127;TL;1700;1700
S.ACM.GNN.000127;TL;1900;1900
S.ACM.GNN.000127;TL;2000;2000
S.ACM.GNN.000127;TL;315;315
S.ACM.GNN.000127;TL;2550;2550
S.ACM.GNN.000090;EUR;972.5;50564.134560390994
TY008159;EUR;5523.9;287209.4836998908
TY008159;EUR;12554.33;652749.4410648365
S.ACM.GKÇ.000060;TL;950;950
S.ACM.GKÇ.000089;TL;3749.75;3749.75
S.ACM.GKÇ.000089;TL;3749.75;3749.75
S.ACM.GKÇ.000060;TL;1060;1060
S.ACM.GNN.000108;EUR;4005.41;208257.16216918835
S.ACM.GNN.000144;TL;3208.33;3208.33
S.ACM.GNN.000148;TL;2766.67;2766.67
S.ACM.GNN.000180;TL;7083.33;7083.33
S.ACM.GNN.000115;TL;2375;2375
S.ACM.GNN.000119;TL;354.17;354.17
S.ACM.GNN.000109;TL;7583.33;7583.33
S.ACM.GNN.000109;TL;1000;1000
S.ACM.YNÇ.000003;TL;1900000;1900000
S.ACM.YNÇ.000003;TL;1900000;1900000
S.ACM.YNÇ.000003;TL;1900000;1900000
S.ACM.YNÇ.000003;TL;1900000;1900000
S.ACM.YNÇ.000003;TL;1900000;1900000
S.ACM.GAN.000052;TL;12623.76;12623.76
S.ACM.GNN.000112;TL;1150;1150
S.ACM.GNN.000093;TL;350;350
S.ACM.GNN.000093;TL;400;400
S.ACM.GNN.000093;TL;200;200
S.ACM.GNN.000143;TL;450;450
S.ACM.GNN.000142;TL;2400;2400
S.ACM.GKÇ.000052;EUR;919.19;47792.336089013676
S.ACM.GKÇ.000082;EUR;11372.27;591289.4504237508
S.ACM.GKÇ.000082;EUR;7581.51;394192.7936359382
S.ACM.YNÇ.000006;EUR;4519.56;234989.8611761036
S.ACM.YNÇ.000006;EUR;401.74;20888.056985389696
S.ACM.GKÇ.000059;TL;22250;22250
S.ACM.GKÇ.000066;TL;35900;35900
S.ACM.GKÇ.000066;TL;15900;15900
S.ACM.GKÇ.000059;TL;9750;9750
000000000005555;TL;312.5;312.5
S.ACM.GNN.000147;TL;275.55;275.55
S.ACM.GNN.000147;TL;6582.1;6582.1
S.ACM.GNN.000107;USD;2794.109676;121393.30390580876
S.ACM.GNN.000147;TL;752.4;752.4
S.ACM.GNN.000107;USD;1031.67;44822.08802189687
S.ACM.GKÇ.000065;TL;88260.71;88260.71
00000001;TL;5580;5580
S.ACM.GKÇ.000095;TL;334;334
S.ACM.GKÇ.000095;TL;167;167
S.ACM.GKÇ.000095;TL;335;335
S.ACM.GKÇ.000095;TL;334;334
S.ACM.GKÇ.000095;TL;500;500
S.ACM.GKÇ.000095;TL;6680;6680
S.ACM.GKÇ.000095;TL;2500;2500
S.ACM.GKÇ.000095;TL;250;250
S.ACM.GKÇ.000095;TL;250;250
S.ACM.GKÇ.000095;TL;1250;1250
S.ACM.GKÇ.000095;TL;334;334
S.ACM.GKÇ.000095;TL;668;668
S.ACM.GKÇ.000095;TL;167;167
S.ACM.GKÇ.000095;TL;1250;1250
S.ACM.GKÇ.000095;TL;10000;10000
S.ACM.GKÇ.000095;TL;1250;1250
S.ACM.GKÇ.000095;TL;417;417
S.ACM.GKÇ.000095;TL;335;335
S.ACM.GKÇ.000095;TL;1334;1334
00000000000565;TL;7250;7250
S.ACM.GKÇ.000046;TL;319.6;319.6
00000000000565;TL;1500;1500
00000000000565;TL;15000;15000
S.ACM.GKÇ.000046;TL;799;799
S.ACM.GKÇ.000046;TL;869;869
S.ACM.GKÇ.000046;TL;799;799
S.ACM.GKÇ.000046;TL;799;799
S.ACM.GKÇ.000094;TL;248600;248600
S.ACM.GKÇ.000099;TL;4800;4800
S.ACM.GKÇ.000099;TL;4082;4082
S.ACM.GKÇ.000094;TL;252216;252216
DNY0000060;TL;8500;8500
S.ACM.GKÇ.000053;TL;1000;1000
S.ACM.GKÇ.000053;TL;14000;14000
S.ACM.GKÇ.000093;TL;19000;19000
S.ACM.GKÇ.000061;TL;28500;28500
IMS 14190-26;TL;284000;284000
S.ACM.GAN.000041;TL;300;300
S.ACM.GAN.000048;EUR;8534.1;443721.7282795196
S.ACM.GAN.000067;EUR;8746.72;454776.68590443506
S.ACM.GAN.000030;EUR;52070.32;2707342.5882597617
S.ACM.GAN.000044;EUR;52265.84;2717508.4490199136
S.ACM.GAN.000046;TL;6000;6000
S.ACM.GAN.000045;TL;7500;7500
S.ACM.GAN.000049;EUR;13052.16;678633.5985025737
S.ACM.GAN.000027;EUR;32619.85;1696035.459886653
S.ACM.GAN.000028;EUR;30110.64;1565571.6736858524
S.ACM.GAN.000047;EUR;52208.64;2714534.3940102947
S.ACM.GAN.000068;EUR;162071.64;8426747.77725784
S.ACM.GAN.000029;EUR;50184.4;2609286.122809754
TI12026000000653;TL;37000;37000
S.ACM.GAN.000058;TL;5000;5000
S.ACM.GNN.000104;TL;999.98;999.98
S.ACM.GNN.000098;TL;962.5;962.5
S.ACM.GNN.000099;TL;1400;1400
S.ACM.GNN.000100;TL;916.67;916.67
S.ACM.GNN.000101;TL;4052;4052
S.ACM.GNN.000105;TL;1140;1140
S.ACM.GNN.000102;TL;1200;1200
S.ACM.GNN.000103;TL;581.67;581.67
S.ACM.GNN.000163;TL;2085;2085
S.ACM.GAN.000059;TL;669.16;669.16
S.ACM.GAN.000039;TL;1030.8;1030.8
S.ACM.GAN.000035;TL;496.26;496.26
S.ACM.GAN.000035;TL;368.01;368.01
S.ACM.GAN.000070;TL;2163.6;2163.6
S.ACM.İZM.000025;TL;16895.82;16895.82
S.ACM.GNN.000097;TL;13125;13125
S.ACM.GNN.000124;TL;525;525
S.ACM.GNN.000161;TL;28130;28130
S.ACM.GNN.000134;TL;3278.01;3278.01
S.ACM.GNN.000122;TL;6400;6400
S.ACM.GNN.000110;TL;7125;7125
S.ACM.GNN.000118;TL;1000;1000
S.ACM.GNN.000133;EUR;7580.29;394129.36099412467
S.ACM.GNN.000126;TL;999.67;999.67
S.ACM.GNN.000087;TL;29000;29000
S.ACM.GNN.000120;TL;604.8;604.8
S.ACM.GNN.000120;TL;264.6;264.6
S.ACM.GNN.000120;TL;243.6;243.6
S.ACM.GNN.000120;TL;474.6;474.6
S.ACM.GNN.000120;TL;987;987
S.ACM.GKÇ.000070;USD;99102.66;4305628.882999523
S.ACM.GNN.000164;USD;259348.2;11267680.410131643
S.ACM.GNN.000164;USD;259348.2;11267680.410131643
S.ACM.GAN.000072;USD;69332.32;3012222.270495721
S.ACM.GAN.000066;TL;1100;1100
TI12026000000796;TL;30000;30000
S.ACM.GAN.000071;TL;56500;56500
S.ACM.GAN.000071;TL;170000;170000
S.ACM.GAN.000071;TL;74500;74500
