FİRMA NUMARASI	FİRMA ADI	İŞ YERİ	AMBAR	TÜR	MALZEME/HİZMET KODU	MASRAF MERKEZİ	TALEP NUMARASI	TALEP EDEN	TALEP TARİHİ	TALEP ONAYLAYAN	TALEP ONAY TARİHİ	TALEP AÇIKLAMA	SİPARİŞ NUMARASI	SİPARİŞİ AÇAN	SİPARİŞ TARİHİ	SİPARİŞ ONAYLAYAN	SİPARİŞ ONAY TARİHİ	SİPARİŞ MALZEME	TESLİM EVRAK NO	TESLİM TARİHİ	CARİ ÜNVANI	TESLİM ALAN	AÇIKLAMA	MİKTAR	BİRİM	ÖDEME VADESİ	PARA BİRİMİ	BİRİM FİYAT	TOPLAM	FATURAYI KAYDEDEN	FATURA KAYDETME TARİHİ	FATURA TARİHİ	FATURA NO
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.009	MEKANİK BAKIM ONARIM	T.032.003.000021	tunahan.ak	5.01.2026 09:39	Semih Mutlu	7.01.2026 10:16	Bakım Onarım  Giderleri Evaparatör Bölüm- Gönen	S.ACM.GNN.000096	Semih Mutlu	7.01.2026 10:17	ali.baplı	7.01.2026 14:48	Bakım Onarım  Giderleri Evaparatör Bölüm- Gönen			MAR-TEK MEKANİK OTOMASYON ELEKTRİK TESİSAT İNŞAAT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ		DN 20 PN 15 KROM VANA 	1	AD	30	TL	350	350	khairullah.taj	14.01.2026 10:36	9.01.2026 00:00	MRT2026000000390
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	LABORATUVAR GİDERLERİ	T.032.000.000007	antepgıda	5.01.2026 17:42			Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000018	okkes.yilmaz	7.01.2026 14:30	irmak.kozlu	27.01.2026 13:08	Muhtelif Üretim Giderleri- (Merkez)%10			ATİYE CANDAN KARAYALI		plastik pipet 	1000	AD	01	TL	0,74	740	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	LABORATUVAR GİDERLERİ	T.032.000.000017	antepgıda	6.01.2026 14:45			Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000019	okkes.yilmaz	7.01.2026 14:31	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			MTH MERT TEKNİK HIRDAVAT SAN VE TİC A.Ş		laboratuvar gider hortumu	1	AD	01	TL	50	50	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.031	TEMİZLİK MALZEMELERİ	T.032.000.000016	ANTEPDEPO	6.01.2026 13:42	okkes.yilmaz	6.01.2026 15:19	Muhtelif Üretim Giderleri- (Merkez)%20	S.ACM.GAN.000020	okkes.yilmaz	7.01.2026 14:31	irmak.kozlu	27.01.2026 13:40	Muhtelif Üretim Giderleri- (Merkez)%20			MTH MERT TEKNİK HIRDAVAT SAN VE TİC A.Ş		9 NUMARA SİYAH ELDİVEN	20	AD	01	TL	10	200	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.031	TEMİZLİK MALZEMELERİ	T.032.000.000016	ANTEPDEPO	6.01.2026 13:42	okkes.yilmaz	6.01.2026 15:19	Muhtelif Üretim Giderleri- (Merkez)%20	S.ACM.GAN.000020	okkes.yilmaz	7.01.2026 14:31	irmak.kozlu	27.01.2026 13:40	Muhtelif Üretim Giderleri- (Merkez)%20			MTH MERT TEKNİK HIRDAVAT SAN VE TİC A.Ş		10 NUMARA SİYAH ELDİVEN	20	AD	01	TL	10	200	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	İŞ SAĞLIĞI VE GÜVENLİĞİ	T.032.000.000018	antepgıda	6.01.2026 14:54	antepgıda	6.01.2026 17:22	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000021	okkes.yilmaz	7.01.2026 14:33	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			ATILIM ENDÜSTRİYEL TEMİZLİK ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ		gıdaya uygun kova (20 kg beyaz renk) kapağı ile birlikte	1	AD	01	EUR	3400,435488	3400,44	*			
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	HIRDAVAT	T.055.000.000004	mehmet.urun	5.01.2026 17:54	evren.akinci	6.01.2026 16:46	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000047	Zehra Kılınç	7.01.2026 15:21	AKHİSAR.MUHASEBE	7.01.2026 15:41	Bakım Onarım Giderleri Makina Tesisat - Akhisar			TEKER MARKET TEKNİK MALZEMELERİ SANAYİ TİCARET LİMİTED ŞİRKETİ		150X45 KAMA TEKER (MECİDİYE KUYULAR)	20	Adet	01	TL	1050	21000	ali.karakus	16.01.2026 09:10	9.01.2026 00:00	AYS2026000000362
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	PASLANMAZ MALZEMELER	T.055.000.000001	mehmet.urun	5.01.2026 13:03	Zehra Kılınç	6.01.2026 11:34	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000048	Zehra Kılınç	7.01.2026 15:55	AKHİSAR.MUHASEBE	7.01.2026 17:11	Bakım Onarım Giderleri Makina Tesisat - Akhisar			ÖZİMEKS SANAYİ ÜRÜNLERİ TİC. LTD. ŞTİ.		1 1/2 x 1 iNÇ REDÜKSİYON PASLANMAZ (BORULARDAKİ BUZLANMA İÇİN KULLANILICAKTIR) ACİL	20	Adet	60	TL	404,21	8084,2	ali.karakus	16.01.2026 09:01	9.01.2026 00:00	OZM2026000000192
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	PASLANMAZ MALZEMELER	T.055.000.000001	mehmet.urun	5.01.2026 13:03	Zehra Kılınç	6.01.2026 11:34	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000048	Zehra Kılınç	7.01.2026 15:55	AKHİSAR.MUHASEBE	7.01.2026 17:11	Bakım Onarım Giderleri Makina Tesisat - Akhisar			ÖZİMEKS SANAYİ ÜRÜNLERİ TİC. LTD. ŞTİ.		1 İNÇ PASLANMAZ VANA (BORULARDAKİ BUZLANMA İÇİN KULLANILICAKTIR) ACİL	20	Adet	60	TL	99,64	1992,8	ali.karakus	16.01.2026 09:01	9.01.2026 00:00	OZM2026000000192
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	PASLANMAZ MALZEMELER	T.055.000.000001	mehmet.urun	5.01.2026 13:03	Zehra Kılınç	6.01.2026 11:34	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000048	Zehra Kılınç	7.01.2026 15:55	AKHİSAR.MUHASEBE	7.01.2026 17:11	Bakım Onarım Giderleri Makina Tesisat - Akhisar			ÖZİMEKS SANAYİ ÜRÜNLERİ TİC. LTD. ŞTİ.		1 İNÇ HORTUM AĞZI PASLANMAZ (BORULARDAKİ BUZLANMA İÇİN KULLANILICAKTIR) ACİL	30	Adet	60	TL	68,75	2062,5	ali.karakus	16.01.2026 09:01	9.01.2026 00:00	OZM2026000000192
